Light	Grazing 	Consumption
345	grazed	0.668627451
675	grazed	0.471014493
234	grazed	0.536415712
345	grazed	0.423054588
676	grazed	0.594421163
545	grazed	0.602487562
345	grazed	1.068829114
123	grazed	0.580487805
134	intact	0.57176235
156	intact	1.097072419
234	intact	0.861639344
434	intact	0.595757576
344	intact	0.911814169
255	intact	0.768476621
356	intact	0.588850174
432	grazed	0.553697183
344	grazed	0.862444772
234	grazed	0.434640523
211	grazed	0.638596491
344	grazed	0.49537931
433	grazed	0.55597148
235	grazed	0.499342105
567	grazed	0.376855729
654	intact	0.760416667
67	intact	0.972912801
345	intact	0.789952996
678	intact	0.62014652
323	intact	0.733013121
456	intact	0.494800219
234	intact	0.641025641
543	intact	0.806818182
435	grazed	0.663129973
343	grazed	0.644425877
323	grazed	0.676086957
244	grazed	0.330598978
266	grazed	0.629261834
234	grazed	0.592656143
256	grazed	0.569047619
345	grazed	0.454618415
321	intact	0.789879931
453	intact	0.988194444
543	intact	0.852412281
345	intact	0.588038109
234	intact	0.680424528
654	intact	0.619476268
343	intact	0.488112685
456	intact	0.515248227
435	grazed	0.782608696
342	grazed	0.639303483
356	grazed	0.643421053
367	grazed	0.747080979
435	grazed	0.370567376
534	grazed	0.518062397
543	grazed	0.529934211
542	grazed	0.168808215
645	intact	0.665073529
611	intact	0.431899004
623	intact	0.240205628
634	intact	0.316849817
675	intact	0.659006816
345	intact	0.795072115
343	intact	0.952972973
365	intact	0.370201692
432	grazed	0.537704918
344	grazed	0.636621315
323	grazed	0.081862745
123	grazed	0.603082192
144	grazed	0.741585127
523	grazed	0.9765625
432	grazed	0.76540719
345	grazed	0.463352739
756	intact	0.527492669
645	intact	0.9484375
767	intact	0.79025974
456	intact	0.166666667
122	intact	0.544534413
111	intact	0.631124807
345	intact	0.187312917
654	grazed	0.670475113
345	grazed	0.669836957
345	grazed	0.517940199
322	grazed	0.623714459
233	grazed	0.771978022
244	grazed	0.391304348
123	grazed	0.497286296
355	intact	0.888174448
655	intact	0.708898944
456	intact	0.42691358
543	intact	0.569381599
342	intact	0.740602582
123	intact	1.005577299
432	intact	0.730392157
234	intact	0.564370485
