Mytilus	Polysiphonia	Ceramium	Balanus
0	30	13	90
45	68	0	24
5	30	0	1
0	15	15	0
0	95	0	0
50	1	77	0
0	1	0	50
100	60	5	0
94	4	0	0
90	0	40	10
1	0	39	8
100	4	1	0
1	0	1	1
0	7	3	25
1	0	15	1
0	20	30	0
1	20	15	1
100	0	1	1
100	0	0	10
100	0	0	10
100	0	0	0
100	0	1	5
100	0	1	10
100	0	0	25
100	0	0	2
60	40	30	1
1	30	20	70
45	0	40	25
0	0	15	55
53	0	56	2
1	20	30	61
0	60	40	0
1	30	30	3
4	89	4	3
6	0	94	0
1	3	60	10
25	40	35	10
1	0	60	1
60	0	97	5
40	70	1	10
30	70	0	10
5	50	0	5
0	20	0	5
20	0	0	5
1	5	0	1
30	90	0	5
70	0	70	0
100	1	30	1
40	0	50	0
80	0	1	0
40	0	50	10
100	0	5	1
100	5	30	10
80	0	10	2
20	0	10	0
0	5	10	0
20	0	10	0
0	0	0	0
0	0	30	0
90	0	0	0
40	0	20	10
0	0	0	0
10	0	13	1
60	0	20	0
15	0	24	4
10	0	20	0
1	30	5	5
0	37	0	67
0	0	0	25
5	30	1	65
0	5	0	15
0	0	0	20
0	10	1	30
0	30	10	0
0	44	25	12
1	10	0	0
2	73	8	0
0	1	0	1
1	20	20	0
0	70	0	1
0	80	10	5
0	100	0	1
60	45	0	80
30	35	0	80
0	5	0	0
20	35	0	70
30	23	0	60
5	16	3	10
10	13	0	30
120	0	0	10
120	0	0	5
120	0	0	0
120	0	0	1
100	0	0	1
120	0	0	5
100	1	0	5
80	0	0	1
0	0	0	1
80	0	0	1
100	0	0	1
80	0	0	1
0	0	0	20
0	2	1	20
70	0	0	10
100	0	0	10
90	0	0	30
100	0	0	10
20	0	0	10
60	10	50	0
60	0	21	0
50	0	23	0
30	0	0	30
80	3	4	5
10	15	0	10
10	8	1	10
10	18	1	10
0	16	1	30
5	6	0	5
5	10	0	0
10	30	0	1
5	25	0	1
5	40	0	1
5	30	0	0
5	20	0	1
2	5	1	0
105	0	0	0
105	0	1	1
105	0	0	5
105	0	0	0
105	0	0	1
105	0	0	1
105	1	0	1
100	0	1	5
40	0	0	0
90	0	0	1
80	0	0	0
90	0	0	1
100	0	1	1
0	0	0	5
35	0	4	0
10	0	2	5
15	0	1	5
30	4	0	1
20	0	10	0
15	1	2	0
15	0	1	1
10	0	3	1
5	0	2	1
35	1	5	1
15	0	5	1
10	1	5	0
10	1	7	1
5	3	6	5
20	0	20	1
0	0	0	0
0	4	0	0
0	5	0	0
0	3	0	0
0	2	0	0
