Group	Height
Control	86
Control	86
Control	77
Control	83
Control	86
Control	87
Control	88
Control	91
Control	80
Control	83
Control	84
Control	90
Control	91
Control	92
Control	86
Control	87
Control	85
Control	90
Control	88
Control	85
Treatment	91
Treatment	95
Treatment	94
Treatment	96
Treatment	95
Treatment	93
Treatment	94
Treatment	95
Treatment	94
Treatment	94
Treatment	97
Treatment	98
Treatment	91
Treatment	93
Treatment	94
Treatment	94
Treatment	93
Treatment	95
Treatment	95
Treatment	94
