Light	Phosphate	Epibionts	Growth
230	0.88	12	22
120	0.7	10	16
45	0.2	16	11
67	0.05	15	12
150	0.22	8	15
220	0.78	6	21
230	0.67	3	22
99	0.24	4	17
56	0.1	8	13
167	0.78	10	18
234	0.12	8	17
230	0.78	4	20
145	0.78	9	21
240	0.89	3	22
45	0.22	7	11
120	0.05	1	16
99	0.23	7	17
78	0.89	11	15
170	0.78	6	14
45	0.17	12	12
277	0.56	2	16
289	0.2	7	18
67	0.2	18	19
99	0.45	2	16
136	0.45	3	15
88	0.15	14	14
225	0.05	12	22
210	0.78	4	21
136	0.22	16	23
240	0.78	5	24
270	0.88	11	26
256	0.32	3	18
267	0.56	15	19
255	0.2	6	16
90	0.45	8	15
278	0.23	7	16
266	0.18	11	17
200	0.78	10	18
100	0.89	16	16
150	0.67	2	17
