Grazing	Density	Time	ID	Consumption
non-grazed	low	1	R1	24,8480818
non-grazed	low	1	R2	2,89291925
non-grazed	low	1	R3	12,6301525
non-grazed	low	1	R4	0,298380222
non-grazed	low	1	R5	2,69227053
non-grazed	low	1	R6	1,91304348
non-grazed	low	1	R7	
non-grazed	low	1	R8	5,1645517
non-grazed	low	1	R9	14,0061381
non-grazed	low	1	R10	
grazed	low	1	R11	13,9165965
grazed	low	1	R12	9,16655518
grazed	low	1	R13	3,21568627
grazed	low	1	R14	0,696843359
grazed	low	1	R15	1,53226545
grazed	low	1	R16	5,87255579
grazed	low	1	R17	
grazed	low	1	R18	3,18122714
grazed	low	1	R19	12,4208854
grazed	low	1	R20	
non-grazed	high	1	R21	3,01173021
non-grazed	high	1	R22	10,4247767
non-grazed	high	1	R23	1,78129117
non-grazed	high	1	R24	17,7523511
non-grazed	high	1	R25	4,21288838
non-grazed	high	1	R26	9,16409473
non-grazed	high	1	R27	5,44
non-grazed	high	1	R28	3,45454545
non-grazed	high	1	R29	3,45454545
non-grazed	high	1	R30	10,518837
grazed	high	1	R31	3,27961433
grazed	high	1	R32	3,20210691
grazed	high	1	R33	5,87175701
grazed	high	1	R34	0,185779362
grazed	high	1	R35	8,52929293
grazed	high	1	R36	4,04363636
grazed	high	1	R37	6,09689487
grazed	high	1	R38	1,38603151
grazed	high	1	R39	-0,621667017
grazed	high	1	R40	9,56770234
non-grazed	low	2	R1	3,54385556
non-grazed	low	2	R2	0,303142627
non-grazed	low	2	R3	2,44705882
non-grazed	low	2	R4	2,82196945
non-grazed	low	2	R5	-0,558542426
non-grazed	low	2	R6	-0,829326513
non-grazed	low	2	R7	4,91576471
non-grazed	low	2	R8	-0,818979526
non-grazed	low	2	R9	7,69934641
non-grazed	low	2	R10	10,0955519
grazed	low	2	R11	-0,543178974
grazed	low	2	R12	12,2251375
grazed	low	2	R13	4,32139037
grazed	low	2	R14	1,31764706
grazed	low	2	R15	6,32147239
grazed	low	2	R16	1,27966684
grazed	low	2	R17	2,64514176
grazed	low	2	R18	0,685330132
grazed	low	2	R19	-0,033636547
grazed	low	2	R20	3,00501907
non-grazed	high	2	R21	4,07580134
non-grazed	high	2	R22	5,08235294
non-grazed	high	2	R23	1,84945131
non-grazed	high	2	R24	3,75145969
non-grazed	high	2	R25	14,4931765
non-grazed	high	2	R26	1,68968206
non-grazed	high	2	R27	1,07692308
non-grazed	high	2	R28	2,15424837
non-grazed	high	2	R29	0,750213129
non-grazed	high	2	R30	3,85778356
grazed	high	2	R31	1,2946685
grazed	high	2	R32	15,0221453
grazed	high	2	R33	1,67909046
grazed	high	2	R34	1,67394958
grazed	high	2	R35	8,47058824
grazed	high	2	R36	1,75635469
grazed	high	2	R37	-0,352110727
grazed	high	2	R38	-0,779893048
grazed	high	2	R39	-0,605940136
grazed	high	2	R40	4,21666667
non-grazed	low	3	R1	4,5005767
non-grazed	low	3	R2	0,857142857
non-grazed	low	3	R3	-0,116031318
non-grazed	low	3	R4	5,46972369
non-grazed	low	3	R5	3,49828179
non-grazed	low	3	R6	7,69857891
non-grazed	low	3	R7	7,90008258
non-grazed	low	3	R8	0,091370558
non-grazed	low	3	R9	0,282738095
non-grazed	low	3	R10	4,19047619
grazed	low	3	R11	10,2229562
grazed	low	3	R12	10,5441093
grazed	low	3	R13	2,9078341
grazed	low	3	R14	9,36392075
grazed	low	3	R15	8,0952381
grazed	low	3	R16	-0,090762153
grazed	low	3	R17	4,08993235
grazed	low	3	R18	4,19378471
grazed	low	3	R19	-0,19047619
grazed	low	3	R20	5,9047619
non-grazed	high	3	R21	1,8313253
non-grazed	high	3	R22	4,81927711
non-grazed	high	3	R23	0,201578729
non-grazed	high	3	R24	-0,056278807
non-grazed	high	3	R25	0,192771084
non-grazed	high	3	R26	1,1827119
non-grazed	high	3	R27	1,35586642
non-grazed	high	3	R28	5,24740824
non-grazed	high	3	R29	
non-grazed	high	3	R30	9,83114275
grazed	high	3	R31	-0,09445009
grazed	high	3	R32	7,22891566
grazed	high	3	R33	-0,289156627
grazed	high	3	R34	4,79133241
grazed	high	3	R35	0,00649229
grazed	high	3	R36	1,64000461
grazed	high	3	R37	7,03572912
grazed	high	3	R38	-0,549577191
grazed	high	3	R39	
grazed	high	3	R40	9,18592192
non-grazed	low	4	R1	17,2326493
non-grazed	low	4	R2	22,7126679
non-grazed	low	4	R3	14,3623881
non-grazed	low	4	R4	-0,039419087
non-grazed	low	4	R5	8,53912088
non-grazed	low	4	R6	3,305074
non-grazed	low	4	R7	12
non-grazed	low	4	R8	6,5
non-grazed	low	4	R9	2,49636752
non-grazed	low	4	R10	-0,121336207
grazed	low	4	R11	25,6962162
grazed	low	4	R12	24,8655493
grazed	low	4	R13	7,68037975
grazed	low	4	R14	1,3
grazed	low	4	R15	2,34732965
grazed	low	4	R16	1,12884615
grazed	low	4	R17	0,414222222
grazed	low	4	R19	11,2111111
grazed	low	4	R20	17,2
non-grazed	high	4	R21	0,935736144
non-grazed	high	4	R22	1,39204072
non-grazed	high	4	R23	7,72529954
non-grazed	high	4	R24	3,05202312
non-grazed	high	4	R25	1,48189711
non-grazed	high	4	R26	0,092485549
non-grazed	high	4	R27	8,50640788
non-grazed	high	4	R28	0,205043511
non-grazed	high	4	R29	-0,093179625
non-grazed	high	4	R30	
grazed	high	4	R31	0,335260116
grazed	high	4	R32	11,4064223
grazed	high	4	R33	12,8379678
grazed	high	4	R34	14,7816512
grazed	high	4	R35	0,078994
grazed	high	4	R36	4,43930636
grazed	high	4	R37	12,6462405
grazed	high	4	R38	18,6820809
grazed	high	4	R39	0,541149127
grazed	high	4	R40	
non-grazed	low	5	R1	9,19763941
non-grazed	low	5	R2	7,4705389
non-grazed	low	5	R3	1,68421053
non-grazed	low	5	R4	2,52750745
non-grazed	low	5	R5	4,83675767
non-grazed	low	5	R6	
non-grazed	low	5	R7	8,98026316
non-grazed	low	5	R8	2,09370107
non-grazed	low	5	R9	1,37343358
non-grazed	low	5	R10	
grazed	low	5	R11	5,20116242
grazed	low	5	R12	11,798627
grazed	low	5	R13	0,192669173
grazed	low	5	R14	13,5714286
grazed	low	5	R15	3,8770798
grazed	low	5	R16	
grazed	low	5	R17	11,2631579
grazed	low	5	R18	5,11739079
grazed	low	5	R19	0,321733746
grazed	low	5	R20	
non-grazed	high	5	R21	0,207420495
non-grazed	high	5	R22	4,072
non-grazed	high	5	R24	2,37833656
non-grazed	high	5	R25	
non-grazed	high	5	R26	0,3
non-grazed	high	5	R27	1,73283951
non-grazed	high	5	R28	7,58209607
non-grazed	high	5	R29	5,31469388
non-grazed	high	5	R30	0,6
grazed	high	5	R31	-0,943686007
grazed	high	5	R32	-0,206694561
grazed	high	5	R33	0,2
grazed	high	5	R34	6,61724138
grazed	high	5	R35	
grazed	high	5	R36	0,931457801
grazed	high	5	R37	5,98529412
grazed	high	5	R38	4,48823529
grazed	high	5	R39	-0,025925926
grazed	high	5	R40	10,2035377
non-grazed	low	6	R1	
non-grazed	low	6	R2	2,32611346
non-grazed	low	6	R3	4,35443038
non-grazed	low	6	R4	1,51898734
