Stress	Death	Length	Status
Ambient	12	55	1
Ambient	4	67	1
Ambient	8	43	1
Ambient	5	78	1
Ambient	12	65	1
Ambient	14	45	1
Ambient	11	51	1
Ambient	6	56	1
Ambient	4	68	1
Ambient	8	71	1
Ambient	14	49	1
Ambient	11	56	1
Ambient	10	77	1
Ambient	12	50	1
Ambient	13	53	1
Ambient	3	65	1
Ambient	4	47	1
Ambient	11	67	1
Ambient	12	56	1
Ambient	10	48	1
Ambient	7	71	1
Ambient	6	78	1
Ambient	9	66	1
Ambient	11	57	1
Ambient	8	59	1
Ambient	7	67	1
Ambient	9	62	1
Ambient	12	59	1
Ambient	11	78	1
Ambient	10	65	1
Ambient+15°C	4	56	1
Ambient+15°C	4	45	1
Ambient+15°C	5	48	1
Ambient+15°C	3	72	1
Ambient+15°C	5	64	1
Ambient+15°C	6	57	1
Ambient+15°C	7	49	1
Ambient+15°C	4	65	1
Ambient+15°C	3	69	1
Ambient+15°C	4	71	1
Ambient+15°C	6	51	1
Ambient+15°C	7	52	1
Ambient+15°C	4	76	1
Ambient+15°C	5	70	1
Ambient+15°C	3	58	1
Ambient+15°C	4	45	1
Ambient+15°C	6	47	1
Ambient+15°C	5	52	1
Ambient+15°C	4	54	1
Ambient+15°C	7	67	1
Ambient+15°C	5	56	1
Ambient+15°C	6	78	1
Ambient+15°C	4	76	1
Ambient+15°C	5	65	1
Ambient+15°C	8	46	1
Ambient+15°C	4	57	1
Ambient+15°C	5	55	1
Ambient+15°C	6	47	1
Ambient+15°C	4	58	1
Ambient+15°C	6	59	1
