Group	Death	Status
Ambient	17	1
Ambient	12	1
Ambient	15	1
Ambient	16	0
Ambient	17	1
Ambient	9	1
Ambient	13	0
Ambient	8	1
Ambient	19	1
Ambient	16	1
Ambient	11	0
Ambient	19	1
Ambient	15	1
Ambient	10	1
Ambient	12	1
Ambient+5°C	12	1
Ambient+5°C	14	1
Ambient+5°C	9	0
Ambient+5°C	8	0
Ambient+5°C	10	1
Ambient+5°C	15	1
Ambient+5°C	16	0
Ambient+5°C	13	1
Ambient+5°C	12	0
Ambient+5°C	17	1
Ambient+5°C	11	1
Ambient+5°C	12	1
Ambient+5°C	14	1
Ambient+5°C	10	0
Ambient+5°C	8	1
Ambient+10°C	8	1
Ambient+10°C	7	0
Ambient+10°C	12	1
Ambient+10°C	14	1
Ambient+10°C	7	1
Ambient+10°C	11	0
Ambient+10°C	9	0
Ambient+10°C	13	0
Ambient+10°C	15	1
Ambient+10°C	16	1
Ambient+10°C	8	1
Ambient+10°C	6	1
Ambient+10°C	8	1
Ambient+10°C	12	0
Ambient+10°C	13	0
Ambient+15°C	6	1
Ambient+15°C	4	1
Ambient+15°C	6	0
Ambient+15°C	7	0
Ambient+15°C	8	1
Ambient+15°C	4	1
Ambient+15°C	8	1
Ambient+15°C	9	1
Ambient+15°C	4	1
Ambient+15°C	8	1
Ambient+15°C	15	0
Ambient+15°C	12	1
Ambient+15°C	7	1
Ambient+15°C	9	1
Ambient+15°C	8	1
