Group	Time	ID	Eggs
NO	1	R1	10830
NO	1	R2	5405
NO	1	R3	8235
NO	1	R4	8637
YES	1	R5	6235
YES	1	R6	9896
YES	1	R7	11137
YES	1	R8	5382
NO	2	R1	12521
NO	2	R2	4713
NO	2	R3	3165
NO	2	R4	14751
YES	2	R5	5115
YES	2	R6	7252
YES	2	R7	4914
YES	2	R8	4365
NO	3	R1	7823
NO	3	R2	6648
NO	3	R3	2057
NO	3	R4	5001
YES	3	R5	3560
YES	3	R6	3803
YES	3	R7	4162
YES	3	R8	2071
NO	4	R1	4397
NO	4	R2	2552
NO	4	R3	1987
NO	4	R4	4480
YES	4	R5	2473
YES	4	R6	3644
YES	4	R7	2586
YES	4	R8	1767
NO	5	R1	7686
NO	5	R2	5500
NO	5	R3	3516
NO	5	R4	8711
YES	5	R5	7515
YES	5	R6	5506
YES	5	R7	4398
YES	5	R8	2923
NO	6	R1	4386
NO	6	R2	2383
NO	6	R3	1609
NO	6	R4	2733
YES	6	R5	1297
YES	6	R6	6667
YES	6	R7	3271
YES	6	R8	2690
NO	7	R1	1376
NO	7	R2	3518
NO	7	R3	1198
NO	7	R4	2214
YES	7	R5	3020
YES	7	R6	3496
YES	7	R7	1468
YES	7	R8	1884
NO	8	R1	1552
NO	8	R2	1646
NO	8	R3	2330
NO	8	R4	3588
YES	8	R5	2198
YES	8	R6	2763
YES	8	R7	2815
YES	8	R8	3815
NO	9	R1	7801
NO	9	R2	5784
NO	9	R3	2562
NO	9	R4	5657
YES	9	R5	3448
YES	9	R6	6359
YES	9	R7	5558
YES	9	R8	3882
