Origin	Food	Salinity	BCI	Closing
Jakarta	low	low	0,129633	0
Jakarta	low	low	0,16273	5
Jakarta	low	low	0,087696	1
Jakarta	low	low	0,148274	2
Jakarta	low	low	0,125728	4
Jakarta	low	low	0,158548	3
Jakarta	low	low	0,128826	2
Jakarta	low	low	0,131799	2
Jakarta	low	low	0,167252	3
Jakarta	low	low	0,085734	1
Jakarta	low	low	0,131799	3
Jakarta	low	low	0,181986	2
Jakarta	low	low	0,140461	3
Jakarta	low	low	0,122664	2
Jakarta	high	low	0,157806	3
Jakarta	high	low	0,124459	0
Jakarta	high	low	0,170667	5
Jakarta	high	low	0,192757	4
Jakarta	high	low	0,151655	8
Jakarta	high	low	0,15615	5
Jakarta	high	low	0,125921	2
Jakarta	high	low	0,130768	2
Jakarta	high	low	0,104597	5
Jakarta	low	normal	0,134356	8
Jakarta	low	normal	0,204625	11
Jakarta	low	normal	0,159225	6
Jakarta	low	normal	0,11367	11
Jakarta	low	normal	0,207765	12
Jakarta	low	normal	0,183207	9
Jakarta	low	normal	0,102625	18
Jakarta	low	normal	0,153464	10
Jakarta	low	normal	0,206962	13
Jakarta	low	normal	0,194715	14
Jakarta	low	normal	0,200196	13
Jakarta	low	normal	0,196197	11
Jakarta	low	normal	0,257653	15
Jakarta	low	normal	0,135978	9
Jakarta	high	normal	0,171061	10
Jakarta	high	normal	0,180335	2
Jakarta	high	normal	0,147815	11
Jakarta	high	normal	0,169309	8
Jakarta	high	normal	0,142395	5
Jakarta	high	normal	0,191303	12
Jakarta	high	normal	0,228497	5
Jakarta	high	normal	0,191303	7
Jakarta	high	normal	0,161033	5
Jakarta	high	normal	0,216009	11
Jakarta	high	normal	0,160194	5
Jakarta	high	normal	0,302583	1
Jakarta	high	normal	0,141997	9
Jakarta	high	normal	0,179128	6
Jakarta	high	normal	0,134346	6
Panimbang	low	low	0,122309	11
Panimbang	low	low	0,201023	6
Panimbang	low	low	0,212792	1
Panimbang	low	low	0,149187	10
Panimbang	low	low	0,205474	6
Panimbang	low	low	0,153718	5
Panimbang	low	low	0,126657	3
Panimbang	low	low	0,156221	2
Panimbang	low	low	0,157806	3
Panimbang	low	low	0,117393	3
Panimbang	low	low	0,16	7
Panimbang	low	low	0,178603	7
Panimbang	low	low	0,136921	5
Panimbang	low	low	0,119912	0
Panimbang	low	low	0,149351	1
Panimbang	high	low	0,16197	9
Panimbang	high	low	0,113792	3
Panimbang	high	low	0,165491	1
Panimbang	high	low	0,16374	4
Panimbang	high	low	0,184926	4
Panimbang	high	low	0,175467	8
Panimbang	high	low	0,14085	6
Panimbang	high	low	0,146534	4
Panimbang	high	low	0,190009	5
Panimbang	high	low	0,226104	1
Panimbang	high	low	0,12207	4
Panimbang	high	low	0,124236	7
Panimbang	high	low	0,153635	6
Panimbang	high	low	0,127214	4
Panimbang	high	low	0,11442	5
Panimbang	low	normal	0,12	13
Panimbang	low	normal	0,168733	6
Panimbang	low	normal	0,146796	7
Panimbang	low	normal	0,067847	7
Panimbang	low	normal	0,318244	10
Panimbang	low	normal	0,125674	6
Panimbang	low	normal	0,058569	5
Panimbang	low	normal	0,1952	13
Panimbang	low	normal	0,15831	3
Panimbang	low	normal	0,258703	3
Panimbang	low	normal	0,177319	8
Panimbang	low	normal	0,188663	11
Panimbang	low	normal	0,128757	12
Panimbang	low	normal	0,121477	7
Panimbang	low	normal	0,247809	5
Panimbang	high	normal	0,234995	9
Panimbang	high	normal	0,208505	10
Panimbang	high	normal	0,158624	7
Panimbang	high	normal	0,242954	4
Panimbang	high	normal	0,202314	2
Panimbang	high	normal	0,118835	7
Panimbang	high	normal	0,236012	8
Panimbang	high	normal	0,152852	6
Panimbang	high	normal	0,124906	5
Panimbang	high	normal	0,215959	4
Panimbang	high	normal	0,229242	8
Panimbang	high	normal	0,12	10
Panimbang	high	normal	0,193157	8
Panimbang	high	normal	0,203564	6
Panimbang	high	normal	0,209064	2
