Bath	Temp	Salinity	Diameter
1	12	5	1,865
1	12	15	2,409
1	12	30	3,196
1	12	5	1,942
1	12	15	2,723
1	12	30	2,791
2	20	5	7,11
2	20	15	6,474
2	20	30	5,287
2	20	5	6,964
2	20	15	6,457
2	20	30	5,285
3	28	5	5,539
3	28	15	5,704
3	28	30	6,168
3	28	5	5,555
3	28	15	5,921
3	28	30	6,662
4	12	5	1,731
4	12	15	3,034
4	12	30	2,63
4	12	5	1,666
4	12	15	2,962
4	12	30	2,728
5	20	5	6,972
5	20	15	5,985
5	20	30	5,935
5	20	5	6,269
5	20	15	5,77
5	20	30	5,889
6	28	5	6,009
6	28	15	6,304
6	28	30	6,168
6	28	5	5,555
6	28	15	5,921
6	28	30	5,792
7	12	5	1,495
7	12	15	3,958
7	12	30	1,98
7	12	5	2,151
7	12	15	2,537
7	12	30	3,066
8	20	5	6,077
8	20	15	6,175
8	20	30	6,684
8	20	5	6,571
8	20	15	6,737
8	20	30	6,895
9	28	5	6,014
9	28	15	6,434
9	28	30	5,858
9	28	5	6,041
9	28	15	6,302
9	28	30	6,607
10	12	5	1,814
10	12	15	3,11
10	12	30	3,273
10	12	5	2,013
10	12	15	3,511
10	12	30	3,418
11	20	5	4,808
11	20	15	5,325
11	20	30	5,201
11	20	5	4,762
11	20	15	5,421
11	20	30	5,476
12	28	5	5,773
12	28	15	5,266
12	28	30	5,805
12	28	5	5,469
12	28	15	5,466
12	28	30	6,129
