Food	Temperature	Growthrate
Low	Ambient	2
Low	Ambient	3
Low	Ambient	2
Low	Ambient	5
Low	Ambient	4
Low	Ambient+10	5
Low	Ambient+10	6
Low	Ambient+10	7
Low	Ambient+10	4
Low	Ambient+10	7
Low	Ambient+15	8
Low	Ambient+15	7
Low	Ambient+15	8
Low	Ambient+15	6
Low	Ambient+15	7
Medium	Ambient	5
Medium	Ambient	6
Medium	Ambient	7
Medium	Ambient	5
Medium	Ambient	7
Medium	Ambient+10	8
Medium	Ambient+10	9
Medium	Ambient+10	11
Medium	Ambient+10	10
Medium	Ambient+10	12
Medium	Ambient+15	13
Medium	Ambient+15	16
Medium	Ambient+15	17
Medium	Ambient+15	15
Medium	Ambient+15	16
High	Ambient	10
High	Ambient	9
High	Ambient	8
High	Ambient	11
High	Ambient	11
High	Ambient+10	14
High	Ambient+10	16
High	Ambient+10	17
High	Ambient+10	15
High	Ambient+10	16
High	Ambient+15	20
High	Ambient+15	22
High	Ambient+15	26
High	Ambient+15	27
High	Ambient+15	26
