Productivity	Disturbance	Block	SppRichness
Ambient	D0	B2	10
Ambient	D0	B4	3
Ambient	D0	B9	7
Ambient	D0	B9	4
Ambient	D0	B9	10
Ambient	D0	B10	5
Ambient	D0	B10	6
Ambient	D0	B10	5
Ambient	D1	B2	10
Ambient	D1	B4	8
Ambient	D1	B4	8
Ambient	D1	B9	6
Ambient	D1	B10	6
Ambient	D2	B2	11
Ambient	D2	B2	8
Ambient	D2	B4	2
Ambient	D2	B9	5
Ambient	D2	B10	4
Ambient	D3	B2	11
Ambient	D3	B2	9
Ambient	D3	B4	9
Ambient	D3	B9	5
Ambient	D3	B10	5
Ambient	D3	B10	5
Ambient	D4	B2	11
Ambient	D4	B4	3
Ambient	D4	B4	6
Ambient	D4	B9	9
Ambient	D4	B10	4
Ambient	D5	B2	11
Ambient	D5	B2	11
Ambient	D5	B4	7
Ambient	D5	B9	9
Ambient	D5	B10	2
Ambient	D6	B2	12
Ambient	D6	B4	6
Ambient	D6	B4	4
Ambient	D6	B9	4
Ambient	D6	B9	3
Ambient	D6	B10	3
Low	D0	B3	9
Low	D0	B3	6
Low	D0	B3	10
Low	D0	B6	10
Low	D0	B7	8
Low	D0	B7	12
Low	D0	B11	12
Low	D0	B11	10
Low	D1	B3	8
Low	D1	B6	12
Low	D1	B7	11
Low	D1	B7	9
Low	D1	B11	12
Low	D2	B3	12
Low	D2	B3	8
Low	D2	B6	12
Low	D2	B7	10
Low	D2	B11	6
Low	D3	B3	8
Low	D3	B6	13
Low	D3	B6	9
Low	D3	B7	9
Low	D3	B7	9
Low	D3	B11	8
Low	D4	B3	11
Low	D4	B6	11
Low	D4	B7	12
Low	D4	B11	8
Low	D4	B11	11
Low	D5	B3	8
Low	D5	B6	13
Low	D5	B6	13
Low	D5	B7	9
Low	D5	B11	11
Low	D6	B3	10
Low	D6	B6	13
Low	D6	B6	13
Low	D6	B7	10
Low	D6	B11	8
Low	D6	B11	9
High	D0	B1	5
High	D0	B1	6
High	D0	B5	14
High	D0	B8	13
High	D0	B8	9
High	D1	B1	7
High	D1	B1	13
High	D1	B5	11
High	D1	B8	7
High	D2	B1	10
High	D2	B5	11
High	D2	B8	10
High	D2	B8	6
High	D3	B1	13
High	D3	B5	7
High	D3	B5	12
High	D3	B8	12
High	D4	B1	10
High	D4	B5	10
High	D4	B5	8
High	D4	B8	12
High	D5	B1	12
High	D5	B5	7
High	D5	B8	9
High	D5	B8	7
High	D6	B1	11
High	D6	B1	10
High	D6	B5	7
High	D6	B5	4
High	D6	B8	10
