Productivity	Disturbance	SppRichness
P1	D0	10
P1	D0	3
P1	D0	7
P1	D0	4
P1	D0	10
P1	D0	5
P1	D0	6
P1	D0	5
P1	D1	10
P1	D1	8
P1	D1	8
P1	D1	6
P1	D1	6
P1	D2	11
P1	D2	8
P1	D2	2
P1	D2	5
P1	D2	4
P1	D3	11
P1	D3	9
P1	D3	9
P1	D3	5
P1	D3	5
P1	D3	5
P1	D4	11
P1	D4	3
P1	D4	6
P1	D4	9
P1	D4	4
P1	D5	11
P1	D5	11
P1	D5	7
P1	D5	9
P1	D5	2
P1	D6	12
P1	D6	6
P1	D6	4
P1	D6	4
P1	D6	3
P1	D6	3
P2	D0	9
P2	D0	6
P2	D0	10
P2	D0	10
P2	D0	8
P2	D0	12
P2	D0	12
P2	D0	10
P2	D1	8
P2	D1	12
P2	D1	11
P2	D1	9
P2	D1	12
P2	D2	12
P2	D2	8
P2	D2	12
P2	D2	10
P2	D2	6
P2	D3	8
P2	D3	13
P2	D3	9
P2	D3	9
P2	D3	9
P2	D3	8
P2	D4	11
P2	D4	11
P2	D4	12
P2	D4	8
P2	D4	11
P2	D5	8
P2	D5	13
P2	D5	13
P2	D5	9
P2	D5	11
P2	D6	10
P2	D6	13
P2	D6	13
P2	D6	10
P2	D6	8
P2	D6	9
P3	D0	5
P3	D0	6
P3	D0	14
P3	D0	13
P3	D0	9
P3	D1	7
P3	D1	13
P3	D1	11
P3	D1	7
P3	D2	10
P3	D2	11
P3	D2	10
P3	D2	6
P3	D3	13
P3	D3	7
P3	D3	12
P3	D3	12
P3	D4	10
P3	D4	10
P3	D4	8
P3	D4	12
P3	D5	12
P3	D5	7
P3	D5	9
P3	D5	7
P3	D6	11
P3	D6	10
P3	D6	7
P3	D6	4
P3	D6	10
