Latitude	Salinity	Cover	Species
58,21	6	40	2
58,21	6	30	2
58,21	6	30	2
58,21	6	40	1
58,21	6	15	1
58,21	6	35	1
58,21	6	5	2
58,21	6	10	2
58,21	6	40	2
58,21	6	40	2
59,39	6	5	1
59,39	6	20	1
59,39	6	15	1
59,39	6	10	1
59,39	6	25	1
59,39	6	25	1
59,39	6	10	1
59,39	6	25	1
59,39	6	20	1
59,39	6	5	1
58,33	6	5	3
58,33	NA	NA	NA
58,33	6	15	3
58,33	6	25	3
58,33	6	35	3
58,33	6	5	3
58,33	6	15	2
58,33	6	10	2
58,33	6	5	3
58,33	6	10	3
57,06	18,8	70	4
57,06	18,8	60	6
57,06	18,8	75	4
57,06	18,8	35	5
57,06	18,8	30	6
57,06	18,8	50	4
57,06	18,8	5	4
57,06	18,8	60	4
57,06	18,8	15	6
57,06	18,8	5	5
66,76	4,9	5	2
66,76	4,9	10	2
66,76	4,9	0,5	1
66,76	4,9	0,5	1
66,76	4,9	5	2
66,76	4,9	10	2
66,76	NA	NA	NA
66,76	4,9	5	1
66,76	4,9	0,5	1
66,76	4,9	0,5	1
69,77	4,18	45	3
69,77	4,18	30	3
69,77	4,18	10	2
69,77	4,18	5	1
69,77	4,18	15	2
69,77	4,18	10	2
69,77	4,18	10	2
69,77	4,18	15	2
69,77	4,18	75	4
69,77	4,18	45	3
55,45	9,5	30	4
55,45	9,5	15	4
55,45	9,5	20	3
55,45	9,5	5	5
55,45	9,5	20	4
55,45	9,5	5	2
55,45	9,5	15	4
55,45	9,5	45	4
55,45	9,5	50	4
55,45	9,5	20	4
61,32	4,8	10	2
61,32	4,8	0,5	2
61,32	4,8	10	1
61,32	4,8	30	3
61,32	4,8	15	3
61,32	4,8	65	2
61,32	4,8	30	3
61,32	4,8	15	5
61,32	4,8	25	4
61,32	4,8	45	3
60,27	4,09	30	5
60,27	4,09	10	2
60,27	4,09	5	3
60,27	4,09	10	4
60,27	4,09	20	3
60,27	4,09	40	4
60,27	4,09	5	4
60,27	4,09	15	4
60,27	4,09	20	4
60,27	4,09	40	4
60,08	6,5	40	2
60,08	6,5	10	2
60,08	6,5	10	2
60,08	6,5	5	3
60,08	6,5	10	4
60,08	6,5	25	2
60,08	6,5	5	2
60,08	6,5	5	2
60,08	6,5	50	3
60,08	6,5	10	2
54,46	15	5	4
54,46	15	15	5
54,46	15	30	6
54,46	15	15	4
54,46	15	10	9
54,46	15	10	6
54,46	15	45	3
54,46	15	5	4
54,46	15	10	8
54,46	15	15	5
54,34	8,7	20	4
54,34	8,7	0,5	1
54,34	NA	NA	NA
54,34	8,7	30	3
54,34	8,7	5	4
54,34	8,7	5	4
54,34	NA	NA	NA
54,34	8,7	10	4
54,34	8,7	15	4
54,34	8,7	5	2
55,51	20	5	1
55,51	20	5	2
55,51	20	5	1
55,51	20	5	1
55,51	20	5	1
55,51	20	5	1
55,51	20	5	1
55,51	20	5	1
55,51	20	10	1
55,51	20	15	1
