Season	Temp	Chl	Zoox 
Sep	26,7	0,042	202986
Sep	26,7	0,042	20094
Sep	26,7	0,042	71704
Sep	26,7	0,042	79004
Sep	26,7	0,042	124576
Sep	26,7	0,042	153107
Sep	29,2	0,076	265397
Sep	29,2	0,076	580536
Sep	29,2	0,076	414472
Sep	29,2	0,076	572618
Sep	29,2	0,076	320093
Sep	29,3	0,164	190129
Sep	29,3	0,164	158507
Sep	29,3	0,164	243235
Sep	29,3	0,164	172812
Sep	29,3	0,164	223106
Sep	29,3	0,164	269637
Sep	30,3	0,440	203932
Sep	30,3	0,440	359647
Sep	30,3	0,440	542720
Sep	30,3	0,440	283210
Sep	30,3	0,440	548837
Sep	30,3	0,440	308919
Sep	30,6	0,419	543605
Sep	30,6	0,419	205538
Sep	30,6	0,419	222439
Sep	30,6	0,419	221753
Sep	30,6	0,419	439613
Sep	30,6	0,419	433736
Sep	31,9	2,732	491756
Sep	31,9	2,732	331484
Sep	31,9	2,732	125127
Sep	31,9	2,732	681039
Sep	31,9	2,732	999260
Sep	31,9	2,732	550709
Mar 	21,5	0,255	709464
Mar 	21,5	0,255	340493
Mar 	21,5	0,255	407934
Mar 	21,5	0,255	165767
Mar 	21,5	0,255	344383
Mar 	21,5	0,255	371190
Mar 	23,2	0,282	845436
Mar 	23,2	0,282	617191
Mar 	23,2	0,282	325226
Mar 	23,2	0,282	595553
Mar 	23,2	0,282	1437936
Mar 	23,2	0,282	1166152
Mar 	24,3	0,320	270185
Mar 	24,3	0,320	291837
Mar 	24,3	0,320	349890
Mar 	24,3	0,320	257202
Mar 	24,3	0,320	532329
Mar 	24,3	0,320	417383
Mar 	25,4	0,471	527915
Mar 	25,4	0,471	287527
Mar 	25,4	0,471	458227
Mar 	25,4	0,471	806543
Mar 	25,4	0,471	652980
Mar 	25,4	0,471	620120
Mar 	28,5	0,600	785869
Mar 	28,5	0,600	356737
Mar 	28,5	0,600	1055502
Mar 	28,5	0,600	685164
Mar 	28,5	0,600	641969
Mar 	28,5	0,600	692275
Mar 	27,9	1,450	76426
Mar 	27,9	1,450	186317
Mar 	27,9	1,450	368599
Mar 	27,9	1,450	95073
Mar 	27,9	1,450	69454
Mar 	27,9	1,450	342369
