Temperature	Survivors
average.(x)	18
average.(x)	16
average.(x)	17
average.(x)	19
average.(x)	20
average.(x)	15
average.(x)	17
average.(x)	16
average.(x)	14
average.(x)	19
average.(x)	20
average.(x)	16
average.(x)	17
average.(x)	16
average.(x)	18
x+5	14
x+5	15
x+5	12
x+5	14
x+5	11
x+5	14
x+5	10
x+5	11
x+5	16
x+5	14
x+5	12
x+5	15
x+5	17
x+5	16
x+5	14
x+10	16
x+10	15
x+10	12
x+10	12
x+10	11
x+10	14
x+10	12
x+10	10
x+10	11
x+10	10
x+10	10
x+10	14
x+10	12
x+10	14
x+10	12
