Nutrients	Biomass
0	2500
0	2020
0	2470
0	2560
0	2936
0	2845
0	2610
0	2798
0	2468
0	2120
20	3050
20	2830
20	3090
20	2945
20	2957
20	3030
20	3420
20	3100
20	3290
20	3275
40	3204
40	3350
40	3367
40	3490
40	3030
40	3720
40	3420
40	3520
40	3480
40	3120
60	3700
60	3410
60	3820
60	3323
60	3456
60	3600
60	3520
60	3690
60	3580
60	3610
80	3790
80	3521
80	3678
80	3901
80	3860
80	3900
80	3640
80	3910
80	3204
80	3568
100	4005
100	3367
100	4010
100	3920
100	3530
100	3740
100	3970
100	4060
100	4230
100	4010
